,id,skills,edu_1,edu_2,edu_3,org_1,org_2,org_3,org_4,organization_title_1,label
373,adib-baziz,Python R Informatique Mathmatiques Apprentissage automatique                                               ,"M2 - Mathématiques, Vision et Apprentissage (MVA) École Normale Supérieure Paris-Saclay",Mathématiques National University of Singapore,"Mathématiques et Physique CPGE Lycée Descartes, Tours",ML & Software Engineer Ponicode,Data Scientist FieldBox.ai,Quantitative Research J.P. Morgan,FX Quant Trader Researcher Societe Generale Corporate and Investment Banking - SGCIB,ML & Software Engineer,1
374,julien-zouein-5a8644106,C JavaScript PHP Microsoft Office C Project Management Computer Vision Management TensorFlow Visual Basic NET VBNET Gestion de projet Modlisation D Python langage de programmation Mathmatiques Apprentissage automatique Statistiques Intelligence artificielle Feuilles de Style en cascade CSS Visual Basic pour Applications VBA Prsentations                                ,Bachelor's degree EFREI Paris,"Classes préparatoires aux grandes écoles (CPGE), Mathematics and Physics Institution Sainte Marie d'Antony","Classes préparatoires aux grandes écoles (CPGE), Mathematics and Physics Lycée Fénelon Sainte-Marie",ML Research Engineer Blade Shadow,Testing Technician Blade Shadow,Intern MBDA, ,ML Research Engineer,1
375,jongikpark,SQL Git Machine Learning Data Analysis Deep Learning Python Data Mining Statistics R Tableau Mathematics Data Modeling Business Intelligence Natural Language Processing Google Analytics Google Data Studio Information Retrieval ETL  Recommender System Product Analysis Google Big Query Google Tag Manager                             ,"Master of Computer Applications - MCA, Data Science Korea University","Bachelor of Science - BS, Mathematics Konkuk University","Bachelor of Science - BS, Applied Statistics Konkuk University",ML Model Engineer Yogiyo,Data Analyst Yogiyo,Data Analyst TMON,"Business Intern Daou Technology Inc.,",ML Model Engineer,1
376,leshchinskiy,Java JavaScript Python Programming Language PHP Cascading Style Sheets CSS SQL HTML Machine Learning Deep Learning Data Mining Image Processing OpenCV PySpark TensorFlow PyTorch Agile Methodologies C Pandas Software ScikitLearn Feature Engineering NLTK NET TSQL Microsoft Bot Framework                            ,Master International Management Toulouse School of Management,BSc in Business and Economics Uppsala University,"Dancer, Choreography Vaganova Ballet Academy, St. Petersbourg, Russia",Cloud Engineer- ML specialist Claranet,Sales Engineer ORPALIS,Commercial Director | Presales GdPicture-ORPALIS,Strategy & Marketing Intern GdPicture-ORPALIS,Cloud Engineer- ML specialist,1
377,parth-domadia-06748413b,Java PHP MySQL SQL Adobe Premiere Pro Public Speaking Project Management Data Structures Management Team Management Quality Assurance css c PostgreSQL c XAMPP html                                   ,"Bachelor of Technology, Computer Science Christ University Faculty of Engineering"," St. Lawrence Hgh School , Kolkata", ,ML Support Engineer Playment,Associate Project Manager Playment,Project Associate Playment,Intern CDI (Centre for Digital Innovation) ,ML Support Engineer,1
378,singhdeovrat,Java C SQL Software Development C Computer Science Python Data Structures Algorithms Shell Scripting ObjectiveC Eclipse Visual Studio Software Design Perl OS X Xcode Cocoa                                  ,"Bachelor of Technology, Computer Science and Engineering National Institute of Technology Calicut","Higher School Certificate, Physics,Chemisty,Maths,English,Computer Science The Asian School,Dehradun", St Thomas School Dehradun,Staff ML engineer Adobe,Senior Machine Learning Engineer Adobe,Computer Scientist 2 Adobe,Intern Google,Staff ML engineer,1
379,yolandyan,Java C JavaScript Data Analysis C Python TensorFlow Django Photoshop InDesign GLSL                                         ,"Bachelor's Degree, Computer Science and Economics New York University", , ,ML SOFTWARE ENGINEER Google,HACKSTAR Techstars, , ,ML SOFTWARE ENGINEER,1
380,anujjha30,Java MySQL SQL Git Big Data Analytics Machine Learning Data Analysis Microsoft Azure Programming Microsoft Office Microsoft Excel Deep Learning Python Data Structures Algorithms Natural Language Processing NLP Statistics Data Visualization Data Science Data Analytics Artificial Neural Networks Tableau Image Processing Statistical Modeling Computer Vision Artificial Intelligence AI Machine Learning Algorithms R Programming Language Predictive Analytics TensorFlow Amazon Web Services AWS MLOps Neural Networks NLTK Convolutional Neural Networks CNN Databricks Recurrent Neural Networks RNN GitHub Long Shortterm Memory LSTM Apache Airflow BERT Continuous Integration and Continuous Delivery CICD Github Actions Drone XLNET GPT      ,"Master of Technology - M. Tech. , (Data Analytics) National Institute of Technology, Tiruchirappalli","Bachelor of Technology (BTech), Computer Science Swami Vivekananda Institute Of Science And Technology", ,Software Engineer - ML Level I Condé Nast Data (India),Machine Learning Engineer Intern Condé Nast,"Teaching Assistant National Institute of Technology, Tiruchirappalli",Machine Learning Engineer Condé Nast,Software Engineer - ML Level I,1
381,brandon-joffe-36734a93,Web Development Microsoft Word Software Development Microsoft Office Leadership Public Speaking Project Management Microsoft Excel Customer Service Deep Learning Computer Vision Research Management Embedded Systems DJ Entertainment Management Web development                                   ,Electrical & Computer Engineering University of Cape Town,Matric Certificate Herzlia High School, ,ML Vision Engineer Apple,Chief NN Architect & Computer Vision Engineer Camerai,Entertainment Manager and DJ Nomad Productions and Entertainment,Maths Tutor Private,ML Vision Engineer,1
382,pengchengliu,C JavaScript MySQL XML SQL Linux Machine Learning Data Mining Hadoop Hive Image Processing Matlab Computer Vision Cloud Computing Shell Scripting MapReduce Artificial Intelligence Spark Embedded Systems Core Java Digital Signal Processing Pattern Recognition Text Mining Solr Sentiment Analysis Avro Parquet Embedded Linux impala Hbase Spark Streaming Java D MLlib Nature Language Processing                  ,"PhD, Electrical And Computer Science Enigneering University of North Carolina at Charlotte", , ,Principal ML engineer Siemens enlighted and comfy,QAC -principal data scientist  Wells Fargo,Director of Product Management Analytics Siemens PLM Software,Analytic Architect/ Lead data scientist Siemens PLM Software,Principal ML engineer,1
383,vishakha-gupta-2902,JavaScript PHP MySQL SQL Linux HTML Microsoft Office CSS C MongoDB Microsoft Excel Python Hadoop Matlab Visual Studio CouchDB ASPNET CC Eclipse CDT Inkscape Flash Animation Fine Art Gephi                             ,"Master of Engineering (M.Eng.), Software System Birla Institute of Technology and Science, Pilani","Bachelor of Technology (BTech), Information Technology Jaypee University of Information Technology", Maharani Gayatri Devi Girls' School,ML Ops Engineer Cisco,Network Consulting Engineer Cisco,Intern GE Digital,Intern Accenture,ML Ops Engineer,1
384,mehlman-edouard-ml1sapass1on,                                                   ,"MVA, Master of Science, M2. Mathématiques, Vision, Apprentissage École Normale Supérieure Paris-Saclay","Computer Science, Applied Mathematics, Economics École Polytechnique", Lycée Sainte-Geneviève,ML & NLP Engineer Feedly,"Assistant Research Scientist University of California, Berkeley",Assistant Research Scientist Université Paris Descartes,Software Intern Matters - Product & Startup Studio,ML & NLP Engineer,1
385,sunil-ibra,Python Programming Language SQL Machine Learning Deep Learning Natural Language Processing NLP Hadoop Hive Tableau Computer Vision Apache Spark Keras Pandas Software ScikitLearn REST SOAP numpy matplotlibpy                                   ," GMR Institute of Technology (GMRIT), GMR Nagar, Rajam, Srikakulam Dt.,-532127 (CC-34))","PG Diploma, Artificial intelligence and machine learning National Institute of Technology Warangal", ,ML Ops Engineer Deloitte,Machine Learning Engineer Inivito,Senior Analyst Capgemini, ,ML Ops Engineer,1
386,sayandeep-laha-8948881a3,Java Python Programming Language Git Machine Learning C Programming Language C Microsoft Excel Data Science Tableau Management Microsoft SQL Server PySpark Apache Spark ML Engineering Pattern Recognition Heroku IBM Watson Computer Networking Software Deployment Content Creation Unity Technologies                               ,"Bachelor of Technology - BTech, Electronics and communication engineering Institute Of Engineering and Management","CBSE, PCM(Computer science) Kalyani Public School",ICSE Modern English Academy,Junior ML engineer Omdena,Data Science Intern Aiotize,Member & Collaborator Omdena,Summer Trainee BSNL LTD,Junior ML engineer,1
387,oscar-annen-5b873241,Java C SQL Machine Learning Programming Teamwork Leadership Computer Science Python Artificial Intelligence Bash                                         ,"Master’s Degree, Machine Learning University of Cambridge","Bachelor’s Degree, Computer Science University of Toronto", ,"ML Tech Lead Rubrik, Inc.","ML Engineer Rubrik, Inc.",MPhil Student University of Cambridge,Software Developer University of Toronto - Rotman School of Management,ML Tech Lead,1
388,samanehsaadat,Java C JavaScript PHP MySQL SQL Git Linux Machine Learning C Computer Science Python Algorithms Data Mining Image Processing Matlab LaTeX Artificial Intelligence C Eclipse Visual Studio Perl Pattern Recognition Bioinformatics CUDA Graph Theory                          ,"Doctor of Philosophy (Ph.D.), Computer Science University of Central Florida","Master's Degree, Algorithms and Computations University of Tehran","Bachelor's Degree, Software Engineering Iran University of Science and Technology",ML Software Engineer Google,Graduate Research Assistant University of Central Florida,Machine Learning Engineer Sepanta Robotic Research Foundation, ,ML Software Engineer,1
389,vlad-rudenko,Machine Learning ObjectOriented Programming OOP Python Data Structures                                                ,"Bachelor of Computer Science, Computer Science National Technical University of Ukraine 'Kyiv Polytechnic Institute'​", , ,ML and Data Engineer Genesis Tech,ML Engineer Proxet, , ,ML and Data Engineer,1
390,mohamedahmed228,Machine Learning Deep Learning Natural Language Processing NLP Image Processing Computer Vision Artificial Intelligence AI                                              ,"Bachelor's degree, Computer Engineering Faculty Of Engineering Cairo Univesity", , ,ML Research Engineer ITWorx,Machine Learning Engineer Corporatica,Machine Learning Intern SilverKey Technologies,Deep Learning Intern  SeenTeck,ML Research Engineer,1
391,chandru-viswanathan-987403103,PHP MySQL AngularJS Laravel Machine Learning Microsoft Office Flutter Artificial Intelligence AI Android Development Android Electronics iOS iOS Development Xcode                                      ,"Bachelor of Engineering (B.E.), Electronics and communication Ktvr KNOWLEDGE PARK FOR ENGINEERING AND TECHNOLOGY", , ,ML ENGINEER AH TECHNOLOGIES AND PUBLISHING,Software Engineer AH TECHNOLOGIES AND PUBLISHING,Mobile Application Developer(Android & IOS) Falcon Square  Private Limited- India, ,ML ENGINEER,1
392,prachi-parmar-a318ba18b,Java Python Programming Language AngularJS SQL Machine Learning C Programming Language Responsive Web Design C Programming Languages Data Science Artificial Intelligence AI Amazon Web Services AWS Information Technology Spring Framework Spring Boot Frontend Development Microservices Spring MVC                                  ,"PG in Data Science, Machine Learning  and Neural Networks, Data Science Datatrained","Bachelor of Technology - BTech, Information Technology SRM University", ,ML Software Engineer GetupForChange Services Pvt Ltd,Data Science Intern Flip Robo Technologies,Jr. Software Engineer Cognizant,Intern Cognizant,ML Software Engineer,1
393,anandcu3,Java MySQL SQL HTML Machine Learning Python ElasticSearch OpenCV Computer Vision Research Amazon Web Services AWS Django Android Development Eclipse Web Scraping User Interface Design AWS Lambda CMake Website Development Bazel AWS IoT                               ,"Master's degree, Data Science Technische Universität Berlin","Bachelor of Engineering (BE), Computer Science Sri Jayachamrajendra ColleCollege of Engineering","Deep Learning Nanodegree Foundation, Computer Science Udacity",Senior ML/CV Engineer Sharper Shape Inc.,Thesis Worker Aalto University,Research Assistant Aalto University,Lead Engineer Kaaenaat,Senior ML/CV Engineer,1
394,keval-bhanushali,Java C JavaScript MySQL SQL HTML Microsoft Word Machine Learning Data Analysis Databases Microsoft Office Public Speaking C Project Management Microsoft Excel Microsoft PowerPoint Customer Service Python PowerPoint R Tableau Research Management Microsoft SQL Server Analytics Business Analysis Power BI Data Warehousing Business Intelligence Business Intelligence Tools SQL Server Reporting Services SSRS SQL Server Integration Services SSIS hadoop SharePoint Customer Relationship Management CRM                 ,"Master's degree, Information Management University of Maryland","Bachelor of Engineering (B.E.), Electronics and telecommunication K.J Somaiya College of Engineering", ,ML Application Engineer Falkonry,Graduate Assistant University of Maryland College Park,Business Intelligence Intern Optimal Solutions LLC,Business Intelligence Analyst Accenture,ML Application Engineer,1
395,fahad-a-munir-64a809151,Python Programming Language Linux Machine Learning Data Analysis Deep Learning Algorithms Natural Language Processing NLP Statistics Data Science R Artificial Neural Networks Statistical Data Analysis Statistical Modeling Matlab OpenCV Computer Vision Research Mathematical Modeling Digital Image Processing TensorFlow Keras LaTeX Pandas Software Data Scraping Neural Networks Digital Signal Processing Convolutional Neural Networks CNN Pattern Recognition Docker Bash Regression Models Jupyter Elasticsearch Probabilistic Models Game Theory Research and Development RD Stochastic Processes Technical Writing Information Extraction pgAdmin Scientific Computing Digital Communication Scientific Research Spatial Data Speech Signal Processing Statistical Signal Processing Chaos Theory Scrapy Framework    ,"Master of Philosophy - MPhil, Electronics Quaid-i-Azam University, Islamabad","Master's degree, Electronics Quaid-i-Azam University, Islamabad","Bachelor's degree, Physics and Mathematics University of the Punjab",ML & Data Science Engineer Zoneomics,Research & Development Engineer TPL Maps,Freelance ML Engineer and Technical Writer Upwork,"Research Engineer Communications, Signal and Image Processing (COMSIP) Lab, QAU",ML & Data Science Engineer,1
396,mohammedalademi,C JavaScript Python Programming Language SQL Software Development C Programming Language Microsoft Office C Python Arduino Matlab Computer Vision Engineering Digital Signal Processors Verilog Microchip PIC Electronics linux Matrox Imaging Library PHP Open CV                               ,"Bachelor of eng, Electrical and Electronics Engineering Universiti Teknologi PETRONAS","Bachelor of Engineering (B.E.), Electrical and Electronics Engineering Universiti Teknologi PETRONAS", ,Data and ML engineer WooliesX,Data and Machine Learning Engineer Intellify,Data Engineer Woolworths Group,Data Engineer Servian,Data and ML engineer,1
397,rishi-raj-53b55a115,C JavaScript Python Programming Language PHP MySQL Bootstrap SQL HTML Machine Learning Software Development Microsoft Azure Problem Solving CSS Leadership Public Speaking Data Structures Algorithms Data Science Matlab Research NetBeans Google Cloud Platform GCP PySpark Android Development Eclipse Java Enterprise Edition Digital Electronics Core Java Spring Boot Hibernate Microservices Servlets VHDL JavaServer Pages JSP Spring MVC Electronics Proteus Microprocessors Keil Java Database Connectivity JDBC Apache Beam JEE Web Services MuleSoft Products KPI Implementation MASM STS model sim     ,"B.TECH, Electronics and Communication Engineering Cochin University of Science and Technology","High School, Science St. Michael's High School,Patna",Secondary School PVSS DAV Public School,Software Engineer (Big Data & ML) Flipkart,Software Engineer (Big Data and ML) GE Healthcare,Engineer Fractal Analytics,Assistant System Engineer Tata Consultancy Services,Software Engineer (Big Data & ML),1
398,vladseve7n,C Microsoft Word C Python Arduino Matlab Anaconda Jupiter Notebook FPGA Octave         Figma        STM                         ,"Master's degree, Infocommunication technologies and communication systems Tomsk State University of Control Systems and Radioelectronics","Bachelor's degree, Infocommunication technologies and communication systems Tomsk State University of Control Systems and Radioelectronics", ,Junior ML engineer SPOTParking,Ml engineer intern SPOTParking,Assistant Томский Государственный Университет Систем Управления и Радиоэлектроники, ,Junior ML engineer,1
399,rutuja-jadhav,C python Machine Learning Data Analysis C Programming Language Leadership Public Speaking C Project Management Microsoft PowerPoint Deep Learning Python Algorithms PowerPoint Statistical Data Analysis Computer Vision Research Artificial Intelligence Product Management Product Development Product Innovation Design Thinking Nonprofit Organizations women in tech                            ,"Master of Science - MS, Technology innovation, Data science University of Washington","Bachelor of Technology (BTech), computer science and engineering Vellore Institute of Technology",Deep learning research program Tsinghua University,Software Engineer (ML) Microsoft,Artificial Intelligence Fellow  Insight,Data/applied scientist Microsoft,Software Development Intern Cisco,Software Engineer (ML),1
400,madhuri-shanbhogue,Java JavaScript MySQL SQL HTML Software Development Programming Microsoft Office Python Data Structures Algorithms Matlab Software Engineering Training                                      ,"Master’s Degree, Computer Science Georgia Institute of Technology","Bachelor of Technology - BTech, Computer Science National Institute of Technology Karnataka", ,Software Engineer ML Google,Computer Vision Research Engineer Facebook,Graduate Research Assistant Georgia Institute of Technology,Software Engineer Intern Google,Software Engineer ML,1
401,wenxuan-guo-351163130,Machine Learning Deep Learning Python Data Science Mean Stack                                               ,"Master of Science - MS, Computer Science Northeastern University","Bachelor of Science - BS, Geophysics and Seismology University of Science and Technology of China", ,Software Engineer ML Instagram,Software Engineer Intern Google,Software Engineer Intern Facebook,Data Scientist Intern Capital One,Software Engineer ML,1
402,anjananiranjan,JavaScript Python Programming Language SQL Microsoft Word Machine Learning C Programming Language Microsoft Office C Microsoft Excel Microsoft PowerPoint Deep Learning Natural Language Processing NLP Data Science Linear Regression Matlab Machine Learning Algorithms TensorFlow Ubuntu PyTorch Keras Distributed Systems Pandas Software NumPy ScikitLearn Embedded Systems Convolutional Neural Networks CNN LinkedIn Raspberry Pi Supervised Learning Microsoft Outlook CUDA Personal Development Parallel Computing Life Skills ELearning Pthreads                ,"Master of Science - MS, Electrical Engineering University of Southern California","Bachelor of Engineering - BE, Electronics and communication engineering B. M. S. College of Engineering", ,Video ML Algorithm Engineer Apple,Machine Learning Engineer Real Shot Inc.,Associate Software Engineer Robert Bosch Engineering and Business Solutions Private Limited,Intern Robert Bosch Engineering and Business Solutions Private Limited,Video ML Algorithm Engineer,1
403,mohd-abdul-azeem,Java JavaScript Python Programming Language MySQL Nodejs SQL python Machine Learning Data Analysis Programming Reactjs Deep Learning Expressjs Data Science OpenCV TensorFlow PyTorch Keras Django Engineering Matplotlib Pandas Software NumPy ScikitLearn Feature Engineering Convolutional Neural Networks CNN Flask Recurrent Neural Networks RNN Database Management System DBMS Seaborn PLSQL Visualization Blockchain Plotly                  ,"Bachelor of Engineering - BE, Computer Science Muffakham Jah College of Engineering & Technology", , ,ML Enginner at Delta Apps(Intern) Delta Apps, , , ,ML Enginner at Delta Apps(Intern),1
404,varun-bharadwaj,JavaScript MySQL Nodejs SQL Git Linux HTML Machine Learning Data Analysis Software Development Databases Programming C Python Data Structures Algorithms Data Mining Data Visualization Matlab Artificial Intelligence AI Management Google Cloud Platform GCP TensorFlow PyTorch Docker Products Distributed Systems Amazon Web Services AWS Apache Kafka jQuery Embedded Systems Kubernetes Flask TypeScript Microservices PostgreSQL Representational State Transfer REST Game Theory Mentoring Computer Networking Djs Redis bash Scalability Technical Leadership Wireless Networking gRPC System Architecture Software Defined Networking HTTP Mentoring New Hires  ,"Master's degree, Electrical and Computer Engineering Cornell University","Bachelor of Engineering (B.E.), Electronics and Communication Engineering Visvesvaraya Technological University", ,Senior ML Software Engineer II Cruise,Senior Software Engineer Cisco,Student Researcher Cornell University,Intern Alcatel-Lucent,Senior ML Software Engineer II,1
405,huasenwu,Java C Linux Machine Learning Programming C Computer Science Python Algorithms Statistics Matlab Research Mathematical Modeling LaTeX Simulations LTE Signal Processing Optimization                                  ,"Doctor of Philosophy (Ph.D.), Wireless networks Beihang University","Visiting PhD student, Commnication Networks University of California, Davis","Bachelor's degree, Electronics and Information Engineering Beihang University",Senior ML Software Engineer Twitter,ML Software Engineer Twitter,Postdoctoral Researcher UC Davis,Visiting Researcher University of Illinois at Urbana-Champaign,Senior ML Software Engineer,1
406,mikhailtrofimovmipt,Linux Machine Learning Data Analysis Computer Science Python Data Mining R Research                                            ,"Магистр, Интеллектуальный анализ даных Moscow Institute of Physics and Technology (State University) (MIPT)","Бакалавр, Прикладная математика и физика Moscow Institute of Physics and Technology (State University) (MIPT)", ,ML Entrepreneur / Product Owner Startup,Lecturer DataGym,Senior ML Engineer /  ML Infra Teamlead Joom,ML Researcher / Engineer Machine Learning Works,ML Entrepreneur / Product Owner,1
407,charles-bensimon,Python Programming Language Nodejs Machine Learning Reactjs Deep Learning API Development Natural Language Processing NLP Computer Vision TensorFlow PyTorch Keras Docker Products Cloud Computing Amazon Web Services AWS Continuous Integration and Continuous Delivery CICD CircleCI Frontend Design                                   ,Computer Science École Polytechnique,"Master’s Degree, Mathematics and Computer Science Pierre and Marie Curie University","Bachelor's Degree, Mathematics and Computer Science Pierre and Marie Curie University",ML Product Engineer Hugging Face,Head of AI Artur'​In,Web Developer Spill.net,Webmaster WISTIKI,ML Product Engineer,1
408,kashish-bansal-iiti,Python Programming Language C Programming Language Programming Adobe Photoshop Public Speaking C Data Structures OpenCV Communication Matplotlib NumPy pandas                                        ,"Bachelor of Technology - BTech, Electrical and Electronics Engineering Indian Institute of Technology, Indore","92.8% in Class 12  , 10/10 CGPA in Class 10 D.A.V. Public School - India", ,ML Lead Developers Students Club - IIT Indore,Mentor @ ML GirlScript Winter of Contributing,Junior ML Engineer Omdena,"Projects Head Cynaptics Club, IIT Indore",ML Lead,1
409,shreya-raghavendra1101,C Python Programming Language Data Analysis C Programming Language Microsoft Office Adobe Photoshop Leadership Public Speaking Microsoft Excel Deep Learning Python Matlab Analytical Skills Critical Thinking Management TensorFlow Docker Products Engineering LaTeX Communication Convolutional Neural Networks CNN Investments Blockchain Finance Research and Development RD Computational Biology Portfolio Management Cancer Genomics Cancer Research                       ,"High School Diploma , Biological and Physical Sciences GEMS Education",Secondary School GEMS Education,"Middle School Birla Public School, Doha, Qatar",Bioinformatics (ML) Engineer Boltzmann ,Software System Designer AMD,Business Society Head ISTE NITK,Student Research Assistant National Institute of Technology Karnataka,Bioinformatics (ML) Engineer,1
410,alexey-kudrinsky-1522a41b4,C Python                                                  ,"Bachelor's degree, Информационные технологии Moscow Institute of Physics and Technology (State University) (MIPT)", , ,ML engineer intern Joom,SWE intern Yandex, , ,ML engineer intern,1
411,shahrzadfaghihi,Java JavaScript Python Programming Language MySQL SQL python Git Software Development Programming Python Algorithms Apache Spark DevOps Amazon Web Services AWS Relational Databases Data Warehousing Software Engineering Kubernetes Docker Ruby on Rails Ruby Ansible RSpec Automated Software Testing                            ,"Master of Applied Science, Electrical Engineering Simon Fraser University","Bachelor of Applied Science (B.A.Sc.), Electrical and Electronics Engineering Imam Khomeini International University", ,Senior ML Data Engineer SAP,Data Engineer - Team Lead Unbounce,Data Engineer Unbounce,Software Engineer Unbounce,Senior ML Data Engineer,1
412,antheajung,                                                   , , , ,ML Open Source Engineer VMware,Senior DevOps Engineer SAP,Software Engineer SAP,XP Associate Developer HCSC,ML Open Source Engineer,1
413,saurabh-sinha-1574a64a,SQL Machine Learning Data Analysis Databases Microsoft SQL Server Analytics Agile Methodologies                                             ,Master of Computer Applications (MCA) BIT Mesra Student-Industry Relations Cell,"Bachelor's degree, Mathematics and Statistics ST. COLUMBA'S COLLEGE", ,ML Software Engineer 2 - Application Development - ML/DL Concentrix,Senior Analyst Cerner Corporation,Senior System Engineer Cerner Corporation,System Engineer Siemens Technology India,ML Software Engineer 2 - Application Development - ML/DL,1
414,sahar-harati-a2a24940,Java C JavaScript MySQL SQL Linux HTML Machine Learning Software Development Programming Microsoft Office Computer Science Python Algorithms Matlab Research LaTeX Artificial Intelligence Windows Eclipse Perl c Operating Systems JEE Web Services Cytoscape                           ,"Doctor of Philosophy (Ph.D.), Computer Science Emory University","Bachelor's degree, Computer Software Engineering Sharif University of Technology", ,Software Engineer/ML Google,Postdoctoral Research Fellow Stanford University School of Medicine,Data Science intern Quartet Health,Visiting Research Assistant Georgia Institute of Technology,Software Engineer/ML,1
415,alejandroisaza,Java C Git Linux Machine Learning C Project Management Numerical Analysis Team Leadership Artificial Neural Networks Management ObjectiveC Artificial Intelligence Physics Android Development C HTML Object Oriented Design Mobile Applications OpenGL Mobile Devices Ruby on Rails Game Development Ruby Lua Open Source Software Swift iOS Development Go Xcode Numerical Simulation Mobile Development                    ,"M.Sc., Computing Science University of Alberta","B.Sc., Physics Universidad de Los Andes","B.Eng., Systems and Computing Eng. Universidad de Los Andes",Staff ML Software Engineer Apple,ML Software Engineer Apple,Lead Blockchain Developer Binance,"Manager, Software Development Hootsuite",Staff ML Software Engineer,1
416,saikatdasthakur,Python Programming Language MySQL SQL Data Engineering Big Data Analytics Data Analysis Microsoft Azure Data Mining Data Analytics Tableau Microsoft SQL Server PySpark Oracle SQL Developer DevOps Extract Transform Load ETL Data Modeling Data Warehousing Project Planning Requirements Analysis Amazon S Azure Data Factory Azure Data Lake SQL Azure SQL Server Management Studio Database Design Written Communication Oracle PLSQL Azure Databricks Relational Data Modeling Snowflake Data Migration Reporting Analysis Azure DevOps Data Architecture Logical Data Modeling TransactSQL TSQL Data Integration Data Quality Netezza Data Vault Amazon Relational Database Service RDS Spark SQL Technical Analysis Onsite Coordination Client Focus Technology Solutions Design Physical Data Modeling Data Integrity Erwin : null,"Bachelor of Technology - BTech, Electronics and Communications Engineering B.P. Poddar Institute Of Management and Technology","High School, Mathematics, Statistics, English, Physics & Chemistry Habra High School (H.S)", ,Sr. ML Data Engineer ServiceNow,Senior Data Engineer McAfee,Associate - Projects Cognizant,Associate - Projects Cognizant,Sr. ML Data Engineer,1
417,mohit-gupta-4bb522143,JavaScript Python Programming Language Microsoft Word Machine Learning Public Speaking C ObjectOriented Programming OOP Microsoft PowerPoint Data Structures Natural Language Processing NLP Data Science Statistical Data Analysis Artificial Intelligence AI Market Research Core Java Pattern Recognition Java Database Connectivity JDBC                                   ,"Bachelor of Technology - BTech, Mechanical Engineering Haldia Institute of Technology", , ,System Engineer | ML developer Infosys,Data Analyst torcea, , ,System Engineer | ML developer,1
418,tanvi-thakur-saibaba,Python Programming Language Cascading Style Sheets CSS HTML Leadership Microsoft Excel Microsoft PowerPoint Amazon Web Services AWS Kubernetes AWS Lambda docker                                          ,"Master of Engineering - MEng, Computer Engineering Virginia Tech College of Engineering","B.E, Electrical and Electronics Engineering Panjab University", ,ML Infrastructure Engineer Intuit,Graduate Research Assistant Virginia Tech,Retail Operations Officer  Axis Bank, ,ML Infrastructure Engineer,1
419,pedro-seq-alves,Machine Learning Data Analysis Python Data Science Research Econometrics Economics Stata                                            ,"MSc, Economics The London School of Economics and Political Science (LSE)","BSc and MRES (1st year), Economics Nova School of Business and Economics", Violinhos,Senior ML engineer Deliveroo,Guest Lecturer and thesis supervisor The London School of Economics and Political Science (LSE),Data Scientist JUST EAT,Data Scientist easyJet,Senior ML engineer,1
420,jxzheng39,Java C Python Programming Language Linux Machine Learning Programming Microsoft Office C Python Algorithms Matlab Research Google Cloud Platform GCP LaTeX Windows MLOps Embedded Systems Kubernetes Verilog VHDL Google App Engine Electronics Labview                             ,"Doctor of Philosophy - PhD, Electrical and Electronics Engineering The University of Texas at Austin","Bachelor of Science (BS), Electrical and Electronics Engineering Shanghai Jiao Tong University", ,"Software Engineer, ML sys 字节跳动",Software Engineer Google,Research Assistant The University of Texas at Austin,Software Engineer Intern Google,"Software Engineer, ML sys",1
421,nikita-vikhe-42625b41,JavaScript MySQL SQL HTML Machine Learning Data Analysis Deep Learning Python Data Structures Natural Language Processing NLP Data Visualization Statistical Data Analysis Analysis Business Analysis TensorFlow Apache OOP Neural Networks Business Intelligence Perl Convolutional Neural Networks CNN Deep Neural Networks DNN Recurrent Neural Networks RNN Djs Dimplejs                           ,"Master of Science (MS), Management Information Systems and Services Texas Tech University - Rawls College of Business","Bachelor of Engineering (BE), Computer Science Maharashtra Institute of Technology", ,Software Engineer (ML) Microsoft,Data Scientist Intel Corporation,Data Scientist - Intel Cognitive Analytics(AI Platform) Intel Corporation,"Graduate Teaching Assistant Dr. Peter H. Westfall , Horn Professor , Rawls College of Business at Texas Tech University",Software Engineer (ML),1
422,hossein-hosseini-02246b89,Machine Learning Microsoft Office Project Management Deep Learning Python Algorithms Data Science Matlab Mathematical Modeling Engineering Electrical Engineering LaTeX Signal Processing                                       ,"Doctor of Philosophy (Ph.D.), Electrical Engineering University of Washington","Master of Science (MSc), Electrical Engineering Sharif University of Technology","Bachelor of Science (BSc), Electrical Engineering Amirkabir University of Technology - Tehran Polytechnic",ML Research Engineer Apple,Research Engineer  Qualcomm AI Research,"Research Intern NEC Laboratories America, Inc.",Research Assistant University of Washington,ML Research Engineer,1
423,the-karanshah,Java C JavaScript Python Programming Language MySQL AngularJS Nodejs SQL Linux HTML Big Data Analytics Machine Learning Software Development C Reactjs Deep Learning BackEnd Web Development Expressjs Python Data Structures Algorithms Data Science Hadoop Image Processing Matlab OpenCV Computer Vision Artificial Intelligence AI Google Cloud Platform GCP Apache Spark TensorFlow PyTorch Keras MapReduce Amazon Web Services AWS Django NumPy ScikitLearn NoSQL Neural Networks Kubernetes Flask Docker PostgreSQL pandas Elasticsearch Jenkins REST API Go Programming Language gRPC  ,"Master's degree, Computer Science Stony Brook University","Bachelor's degree, Computer Engineering L.D. College of Engineering","High School C.N. Vidhyalaya, Ahmedabad",Software Engineer (ML) Adobe,Software Engineer Intern Quantiphi,Graduate Student Researcher Stony Brook Medicine,Graduate Teaching Assistant (CV) Stony Brook University,Software Engineer (ML),1
