,id,skills,edu_1,edu_2,edu_3,org_1,org_2,org_3,org_4,organization_title_1,label
109,kaan-tutuk-4587981a2,                                                   ,"Lisans Derecesi, Bilgisayar Mühendisliği Ondokuz Mayıs Üniversitesi", , ,AI & ML Engineer SisaSoft,Artificial Intelligence Engineer reeder,Stajyer reeder, ,AI & ML Engineer,1
110,amith-t-suresh-129846152,Python Programming Language Machine Learning Leadership Deep Learning Data Visualization Data Science Statistical Data Analysis OpenCV Artificial Intelligence AI Anaconda Communication Matplotlib ScikitLearn Seaborn Numpy Pandas Spyder IDE                                   ,"Level 7 Course, Artificial Intelligence & Machine Learning Aura Educational society","Btech petroleum engineering, Petroleum engineer Global Institute of Engineering and Technology", ,AI/ML Engineer ClaySys Technologies,Data Analyst Lore Software Solutions Private limited,Energy Analyst Lore Software Solutions Private limited, ,AI/ML Engineer,1
111,andrés-herrera-677990129,C Python Aprendizaje automtico Ingeniera elctrica Procesamiento de seales Responsabilidad profesional Ingls Rugby Resolucin de problemas Control de inventario Ingeniera electrica Programacin orientada a objetos POO Programacin Procesamiento digital de seales                                     ,"Grado en Ingeniería, Ingeniería eléctrica y electrónica Universidad de la República", , ,ML Engineer Xmartlabs,Profesor de rugby Saint Brendan's School,Desarrollador de soluciones IoT SensorData, ,ML Engineer,1
112,zachsong,Java SQL Linux Kernel Machine Learning C Natural Language Processing NLP Hadoop Hive Computer Vision Apache Spark Distributed Systems Information Retrieval OpenGL ES                                       ,"M.S., Electrical and Computer Engineering Stony Brook University", , ,ML Engineer Apple,Sr Applied Scientist Amazon,Sr Software Engineer II ML Uber,Software Engineer Google,ML Engineer,1
113,mercypeter,Java Machine Learning Software Development Microsoft Azure Leadership Deep Learning Python Data Science Hadoop R Apache Spark Big Data Cloud Development Artificial Intelligence Requirements Analysis MLOps Microsoft Azure Machine Learning Automation Six Sigma Enterprise Software Solution Architecture Microsoft Bot Framework Cognitive Services Particle Filters Bayesian networks Azure Container ServicesAKS Horovod Distributed Deep Learning                         ,"MS, Computer Science Manipal Academy of Higher Education","Bachelor of Engineering (B.E.), Computer Science Madurai Kamaraj University", ,Senior ML Engineer Microsoft,Machine Learning Technical Specialist Microsoft,Solution Architect for Artificial Intelligence Microsoft,Architect - Data Science Bosch,Senior ML Engineer,1
114,dmitry-voitekh-47ba629b,Java MySQL SQL Git HTML CSS C Python Algorithms Android Development jQuery AJAX Flask PostgreSQL MPLAB React Embedded C Ruby on Rails Ruby SCSS SASS Redux JS  Web selenium npm rspec cucumber imagemagick json api                     ,"Bachelor's degree, IASA, Computer Science National Technical University of Ukraine 'Kyiv Polytechnic Institute'​"," KNSL #145, Kyiv, Ukraine"," Lyceum #171 ""Leader"", Kyiv, Ukraine",ML Engineer GIPHY,ML Engineer Proxet,Full Stack Engineer Proxet, ,ML Engineer,1
115,shivam-singh-623159a0,SQL Machine Learning Data Analysis Microsoft Office C MongoDB Data Mining Statistics R Tableau Time Series Analysis Statistical Data Analysis Statistical Modeling Analytics Business Analysis SAS Google Analytics Segmentation Visual Basic for Applications VBA Marketing Analytics Cognos ARIMA Base and Advance Excel                             ,"Bachelor of Technology (B.Tech.), Computer Science Motivational Pathway", , ,Senior ML Engineer Capgemini,Machine Learning Engineer Fractal Analytics,"Consultant - Athenas owl Quantiphi, Inc.",Analytics Consultant Equifax,Senior ML Engineer,1
116,romansivolobtsev,SQL Git Machine Learning Data Analysis Microsoft Excel Python Mathematics Docker Apache Airflow ClickHouse Wolfram Mathematica ArangoDB Ks ConfluentApache Kafka                                      ,"Master's degree, Computer Mathematics and Systems Analysis Belarusian State University","Bachelor's degree, Computer Mathematics and Systems Analysis Belarusian State University", ,ML Engineer 21vek.by,Data Scientist EPICA.ai,Data Scientist RocketScience.ai,Web Developer МОНОЛИТТРАНС (leading seller of road construction machinery),ML Engineer,1
117,chrisjan-wust,JavaScript Python Programming Language Nodejs SQL Web Development Git HTML Machine Learning CSS Data Mining Data Analytics Engineering Web Design                                       ,"Bachelor's Degree, Electrical and Electronics Engineering Stellenbosch University",High School Stellenberg High,"International Summerschool: Entrepreneurship in China, Entrepreneurship/Entrepreneurial Studies Zhejiang University",ML Engineer BusinessOptics,Data Scientist Thesl,Web Designer Freelancing,Full-stack Developer Techairos Consulting,ML Engineer,1
118,malini-selvam,Python Programming Language SQL Microsoft Word Machine Learning Microsoft Office Leadership Microsoft Excel Deep Learning Data Mining Programming Languages Natural Language Processing NLP Data Science Data Analytics Artificial Neural Networks Image Processing Statistical Data Analysis Computer Vision Artificial Intelligence AI Research Machine Learning Algorithms TensorFlow Keras Amazon Web Services AWS Applied Machine Learning Convolutional Neural Networks CNN Social Media Data Pipelines deep learning Team Building chainer                      ,"Bachelor's degree, Instrumentation Technology/Technician Jerusalem College of Engineering", , ,ML Engineer Maveric Systems Limited,Machine Learning Engineer CHG IT CONSULTANCY PVT. LTD., , ,ML Engineer,1
