,id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
56,piranavans,Java,Nodejs,SQL,python,Linux,Software Development,Programming,Leadership,Public Speaking,C,Data Structures,Management,Shell Scripting,Network Security,OOP,Windows,Cybersecurity,Requirements Analysis,Teaching,Public Relations,Ethical Hacking,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
57,thisaruni-bandara,Java,Python Programming Language,MySQL,C Programming Language,MongoDB,Data Analytics,R,Minitab,Artificial Intelligence AI,Kibana,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
58,supunprabhathperera,Java,Python Programming Language,HTML,SQL,Big Data Analytics,Machine Learning,Software Development,Problem Solving,English,Microsoft Office,Teamwork,ObjectOriented Programming OOP,Microsoft Excel,Data Mining,Statistics,Data Visualization,Data Science,Data Analytics,Hadoop,R,Tableau,Statistical Data Analysis,Minitab,Artificial Intelligence AI,Management,Microsoft Power BI,Analytics,Business Intelligence BI,Predictive Analytics,Extract,Transform,Load ETL,Data Warehousing,Communication,Business Intelligence Tools,SQL Server Reporting Services SSRS,Dashboard,Modeling,Azure Data Factory,Oracle Database,Database Management System DBMS,Regression Models,SQL Server Integration Services SSIS,Statistical Analysis,Internet of Things IoT,Business Analytics,Interpersonal Skills,College Basketball,OOAD,Knowledge Sharing,Query Writing,Product Knowledge : null
59,rajitha-thiyagarajah-025529159,Python Programming Language,MySQL,SQL,Data Engineering,Machine Learning,Data Analysis,Microsoft Azure,Microsoft Office,Microsoft Excel,Data Mining,Data Visualization,Data Science,Data Analytics,R,Tableau,Statistical Data Analysis,SPSS,Research,Microsoft Power BI,Machine Learning Algorithms,Exploratory Data Analysis,Business Intelligence Tools,Database Management System DBMS,SQL Server Integration Services SSIS,SQL Server Analysis Services SSAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
60,methma-bandara-9052522b,Python Programming Language,python,Data Engineering,Machine Learning,Data Analysis,Data Science,Data Analytics,R,Microsoft Power BI,Microsoft SQL Server,Database Management System DBMS,SQL Server Integration Services SSIS,SQL Server Analysis Services SSAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
61,ashan-wijenayake-3b97aa8a,Java,Big Data Analytics,Scala,Microsoft Azure,Leadership,Python,Data Visualization,Data Analytics,Hadoop,Hive,Team Management,Google Cloud Platform GCP,Apache Spark,Power BI,Extract,Transform,Load ETL,Agile Methodologies,MapReduce,OOP,SQL Server Reporting Services SSRS,Hibernate,Azure Data Factory,Spring MVC,SQL Server Integration Services SSIS,AWS,Elasticsearch,Google BigQuery,Azure Functions,Azure Cognitive Services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
62,charith-de-mel-35216336,XML,SQL,Machine Learning,Data Analysis,Problem Solving,Microsoft Office,Microsoft Excel,Microsoft PowerPoint,Python,Data Mining,Statistics,Data Visualization,PowerPoint,Statistical Data Analysis,Statistical Modeling,Minitab,Microsoft SQL Server,Mathematics,Mathematical Modeling,Operations Research,Business Intelligence BI,Power BI,Visual Studio,Simulations,Azure Data Factory,SQL Azure,Weka,SQL Server Integration Services SSIS,Information Retrieval,Optimization,Visual Basic for Applications VBA,DAX,SAP Production Planning,Lean Manufacturing,AnyLogic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
63,aadhil-rushdy,Java,C,JavaScript,Bootstrap,SQL,Linux,Big Data Analytics,Machine Learning,Scala,Problem Solving,Deep Learning,Python,Data Structures,Github,Hadoop,Hive,HBase,Yarn,Apache Pig,Microsoft SQL Server,Google Cloud Platform GCP,Cloud Computing,Extract,Transform,Load ETL,Shell Scripting,Amazon Web Services AWS,Apache Kafka,C,Spark,NoSQL,ASPNET MVC,JSON,Maven,Natural Language Processing,SQL Server Analysis Services SSAS,Data Architecture,Google BigQuery,Amazon Redshift,Unit Testing,Scalding,Play Framework,AWS Glue,Amazon QuickSight,Talend,MySql,Team Foundation Server,LINQ,Spark Structured Streaming,ASPNET Web API,Redis,Data Lake : 1
64,himali-hansani,JavaScript,PHP,MySQL,HTML,Cascading Style Sheets CSS,XML,Machine Learning,Data Analysis,Microsoft Azure,Databases,Programming,java,Reactjs,R,Data Science,Microsoft Power BI,Microsoft SQL Server,Statistical Inference,Regression Analysis,Cloud Computing,ASPNET,Oracle Database,DSA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
65,subodani-rodrigo,Python Programming Language,MySQL,SQL,Microsoft Word,Machine Learning,Microsoft Office,Teamwork,Leadership,Public Speaking,Project Management,Microsoft Excel,Microsoft PowerPoint,Customer Service,Data Mining,Data Science,R,Computer Vision,Research,Management,Microsoft Power BI,java programming,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
66,jayasankaaksc,SQL,Big Data Analytics,Data Analysis,Microsoft Office,Teamwork,Microsoft Excel,Data Visualization,Data Analytics,Predictive Modeling,R,Statistical Data Analysis,Statistical Modeling,Research,Management,Team Management,Microsoft Power BI,Business Intelligence BI,Predictive Analytics,Power BI,Strategic Planning,Business Strategy,Extract,Transform,Load ETL,Data Modeling,Database Administration,Data Warehousing,NoSQL,Business Intelligence,Business Intelligence Tools,Oracle Database,Database Design,SQL Server Integration Services SSIS,Statistical Software,Business Analytics,ETL,Data Architecture,KPI Dashboards,ERP,Data Integration,Microsoft Power Query,Data Quality,nan,nan,nan,nan,nan,nan,nan,nan,nan,
67,dushan-chathuranga-basnayaka-5b252233,PHP,MySQL,SQL,Linux,HTML,Data Engineering,Machine Learning,Data Analysis,Teamwork,Project Management,Data Visualization,Data Science,Data Analytics,Hadoop,Tableau,Google Cloud Platform GCP,Business Intelligence BI,TensorFlow,Big Data,Agile Methodologies,Network Security,Agile Application Development,OOP,Cybersecurity,Business Intelligence,QlikView,QlikView Development,JSP,Agile Project Management,PLSQL,Qlik Sense,oracle,Toad,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
68,isuru-alagiyawanna-536881121,Java,Python Programming Language,Machine Learning,Data Analysis,Databases,Deep Learning,Natural Language Processing NLP,Image Processing,Microsoft SQL Server,Apache Spark,TensorFlow,PyTorch,Big Data,Database Administration,Amazon Web Services AWS,Database Development,Containerization,NoSQL,Mobile Applications,Amazon S,Reinforcement Learning,Database Design,Robotics,AWS Lambda,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
69,tharaka-sandun-gunasiri-b03a61168,Python Programming Language,SQL,Data Analysis,Programming,Microsoft Office,Statistics,Data Visualization,Data Science,Mathematical Modeling,R Programming Language,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
